 Image Link , Phylum, Size (L), Extinct, Litter Size, Main Prey, Color, Age Of Independence, Scientific Name, Weight, Type, Temperament, Wingspan, Average Size (L), Optimum pH Level, Skin Type, Favourite Food, Water Type, Top Speed, Size, Age Of Sexual Maturity, Incubation Period, Common Name, Biggest Threat, Order, Other Name(s), Lifestyle, Average Weight, Average Lifespan, Family, Average Spawn Size, Lifespan, Prey, Diet, Conservation Status, Size (H), Group Behaviour, Average Litter Size, Animal Name , Location, Kingdom, Average Clutch Size, Estimated Population Size, Fun Fact, Predators, Training, Average Size (H), Gestation Period, Age Of Fledgling, Class, Special Features, Average Size, Subfamily, Name Of Young, Distinctive Features, Age Of Weaning, Most Distinctive Feature, Genus, Habitat, Wing Span, Group, Number Of Species, Origin, Colour, 
https://a-z-animals.com/media/animals/images/470x370/aardvark_1.jpg ,Chordata,1.05m - 2.20m (3.4ft - 7.3ft), , , , , ,Orycteropus afer,60kg - 80kg (130lbs - 180lbs), , , , , ,Hair, , ,40kph (25mph), ,2 years, ,Aardvark,Habitat loss,Tubulidentata,Antbear| Earth Pig,Nocturnal, , ,Orycteropodidae, ,23 years,Termites| Ants,Omnivore,Least Concern, ,Solitary,1,Aardvark,Sub-Saharan Africa,Animalia, ,Unknown,Can move up to 2ft of soil in just 15 seconds!,Lions| Leopards| Hyenas, , ,7 months, ,Mammalia, , , ,Cub, ,3 months,Long| sticky tongue and rabbit-like ears,Orycteropus,Sandy and clay soil, ,Mammal,18, ,Brown| grey| yellow,
https://a-z-animals.com/media/animals/images/470x370/abyssinian2.jpg , , , , , , , , , ,Shorthair,Intelligent and curious, ,60cm (2ft), , , , , , , , ,Abyssinian, , , , ,4.5kg (10lbs),15 years, , , , , , , , ,6,Abyssinian, , , , , , ,Easy, , , , , , , , ,Silky fur and almond shaped eyes, , , , , ,Cat, ,Egypt,Fawn| Red| Blue| Grey,
https://a-z-animals.com/media/animals/images/470x370/adelie_penguin2.jpg ,Chordata, , , , , , ,Pygoscelis adeliae,3kg - 6kg (7lbs - 13lbs), , ,35cm - 70cm (14in - 27.5in), , ,Feathers, , ,72kph (45mph), ,2 - 3 years,2 months,Adelie Penguin,Rapid ice melt,Sphenisciformes, ,Diurnal, , ,Spheniscidae, ,10 - 20 years,Krill| Fish| Squid,Carnivore,Least Concern,40cm - 75cm (16in - 30in),Colony, ,Adelie Penguin,Coastal Antarctica,Animalia,2,5 million,Eats up to 2kg of food per day! ,Leopard Seal| Skua Gull| Killer Whale, , , ,90 days,Aves, , , ,Chicks, , ,Small white circle around each eye,Pygoscelis,Antarctic land and ocean, ,Bird,1, ,Black with white chest,
https://a-z-animals.com/media/animals/images/470x370/affenpinscher_dog.jpeg , , , , , , , , , ,Terrier,Alert and inquisitive, , , , , , , , , , ,Affenpinscher, , , , ,3.6kg (8lbs),12 years, , , , , , , , ,3,Affenpinscher, , , , , , ,Medium,25cm (10in), , , , , , , ,Dark wiry-haired body and dark eyes, , , , , ,Dog, ,Germany,Black| Grey,
https://a-z-animals.com/media/animals/images/470x370/afghan_hound1.jpg , , , , , , , , , ,Hound,Alert yet reserved and lively, , , , , , , , , , ,Afghan Hound , , , , ,27kg (60lbs),14 years, , , , , , , , ,7,Afghan Hound, , , , , , ,Moderately Easy,68cm (27in), , , , , , , ,Long fur and pointed muzzle, , , , , ,Dog, ,Afghanistan,Black| White| Brown| Gold,
https://a-z-animals.com/media/animals/images/470x370/african_bush_elephant_24.jpg ,Chordata, , , , , , ,Loxodonta africana africana,3|600kg - 5|400kg (7|900lbs - 12|000lbs), , , , , ,Leather, , ,40kph (25mph), ,11 - 20 years, ,African Bush Elephant,Poaching and habitat loss,Proboscidea,African Elephant,Diurnal, , ,Elephantidae, ,60 - 70 years,Grass| Fruit| Roots,Herbivore,Threatened,3m - 3.5m (10ft - 12ft),Herd,1,African Bush Elephant,central and southern Africa,Animalia, ,300|000,Can drink up to 50 gallons a day!,Human| Lion| Hyena, , ,20 - 24 months, ,Mammalia, , , ,Calf, ,6 - 18 months,Large| rounded ears,Loxodonta,Forest| savannah and flood plains, ,Mammal,1, ,Grey| Brown,
https://a-z-animals.com/media/animals/images/470x370/african_civet4.jpg ,Chordata, , , , , , ,Civettictis civetta,1.4kg - 4.5kg (3lbs - 10lbs), , , , , ,Fur, , , , ,11 - 12 months, ,African Civet,Habitat loss,Carnivora, ,Nocturnal, , ,Viverridae, ,15 - 20 years,Rodents| Snakes| Frogs,Omnivore,Least Concern,43cm - 71cm (17in - 28in),Solitary,3,African Civet,across sub-Saharan Africa,Animalia, ,Abundant,Secretes up to 4g of musk every week!,Lions| Snakes| Leopards, , ,60 - 70 days, ,Mammalia, , , ,Pup, ,8 - 10 weeks,Black band around their eyes,Civettictis,Tropical rainforest, ,Mammal,1, ,Black| White| Grey| Yellow| Brown| Tan,
https://a-z-animals.com/media/animals/images/470x370/african_clawed_frog7.jpg ,Chordata,2.5cm - 12cm (1in - 5in), , , , ,5 days,Xenopus laevis,25g - 220g (1oz - 8oz), , , , , ,Permeable Scales, ,Fresh,8km/h (5mph), ,10 -  12 months,4 - 5 days,African Clawed Frog,Water pollution,Anura,Platanna,Nocturnal, , ,Pipidae,2|000,8 - 15 years,Small Fish| Insects| Spiders,Carnivore,Least Concern, ,Solitary, ,African Clawed Frog,eastern and southern Africa,Animalia, ,Abundant,A particularly ferocious amphibian!,Snakes| Birds| Small Mammals, , , , ,Amphibia, , , ,Tadpole, , ,Clawed front toes,Xenopus,Warm stagnant water with grassland, ,Amphibian,1, ,Brown| Grey| Albino,
https://a-z-animals.com/media/animals/images/470x370/african_elephant.jpg ,Chordata, , , , , , ,Loxodonta cyclotis,900kg - 3|000kg (1|984lbs - 6|613lbs), , , , , ,Leather, , ,39km/h (24mph), ,11 - 20 years, ,African Forest Elephant,Poaching and habitat loss,Proboscidea,African Elephant,Diurnal, , ,Elephantidae, ,60 - 70 years,Grass| Fruit| Roots,Herbivore,Endangered,2m - 3m (6.6ft - 9.8ft),Herd,1,African Forest Elephant,central and southern Africa,Animalia, ,200|000,The largest known mammal on land!,Human| Lion| Hyena, , ,22 - 24 months, ,Mammalia, , , ,Calf, ,5 years,Rounded ears and thin| straight tusks,Loxodonta,Forest| savannah and flood plains, ,Mammal,1, ,Grey| Brown,
https://a-z-animals.com/media/animals/images/470x370/african_palm_civet.jpg ,Chordata, , , , , , ,Nandinia binotata,1.4kg - 4.5kg (3lbs - 10lbs), , , , , ,Fur, , , , ,2 - 3 years, ,African Palm Civet,Habitat loss,Carnivora,Two-Spotted Palm Civet,Crepuscular, , ,Nandiniidae, ,15 - 20 years,Rodents| Snakes| Frogs,Omnivore,Least Concern,43cm - 71cm (17in - 28in),Solitary,2,African Palm Civet,eastern Africa,Animalia, ,Locally abundant,Solitary but gathers in groups!,Lions| Snakes| Leopards, , ,64 days, ,Mammalia, , , ,Pup, ,2 months,Snout with sharp| pointed teeth,Nandinia,Tropical rainforest, ,Mammal,1, ,Black| White| Grey| Yellow| Brown| Tan,
https://a-z-animals.com/media/animals/images/470x370/african_penguin3.jpg ,Chordata, , , , , , ,Spheniscus demersus,2kg - 5kg (4.4lbs - 11lbs), , , , , ,Feathers, ,Salt,20kph (12.4mph), ,3 - 4 years,40 days,African Penguin,Habitat disruption,Sphenisciformes,Jackass Penguin,Diurnal, , ,Spheniscidae, ,10 - 15 years,Fish| Squid| Crustaceans,Carnivore,Endangered,60cm - 68cm (24in - 27in),Colony, ,African Penguin,south-west African coast,Animalia,2,140|000,The only penguin species in Africa!,Sharks| Fur Seals| Gulls, , , ,3 - 5 months,Aves, , , ,Chick, , ,Pink glands above their eyes,Spheniscus,Rocky Ocean Islands, ,Bird,1, ,Black| White| Grey,
https://a-z-animals.com/media/animals/images/470x370/african_tree_toad.jpg ,Chordata,2.5cm - 3.8cm (1in - 1.5in), , , , , ,Nectophryne afra,2g - 5g (0.07oz - 0.18oz),Amphibian, , , , ,Permeable, , ,8km/h (5mph), , , , , ,Anura, ,Solitary, , ,Bufonidae,100,3 - 5 years,Insects| Worms| Snails,Carnivore,Least Concern, , , ,African Tree Toad,Central Africa,Animalia, , , ,Fish| Toads| Birds, , , , ,Amphibia, , , , ,Small body size and webbed feet, , ,Nectophryne,Tropical lowland forest, , , , ,Brown| Black| White| Tan,
https://a-z-animals.com/media/animals/images/470x370/african_wild_dog4.jpg ,Chordata,75cm - 110cm (29in - 43in), , , , , ,Lycaon pictus,17kg - 36kg (39lbs - 79lbs), , , , , ,Fur, , ,72kph (45mph), ,12 - 18 months, ,African Wild Dog,Habitat loss,Carnivora,Hunting Dog| Painted Dog| Painted Wolf,Crepuscular, , ,Canidae, ,10 - 13 years,Antelope| Warthog| Rodents,Carnivore,Endangered, ,Pack,8,African Wild Dog,sub-Saharan Africa,Animalia, ,Less than 5|000,Also known as the painted dog!,Lions| Hyenas| Humans, , ,70 days, ,Mammalia, , , ,Pup, ,3 months,Four toes on each foot rather than five,Lycaon,Open plains and savanna, ,Mammal,1, ,Grey| Black| White| Brown| Tan| Gold| Red,
https://a-z-animals.com/media/animals/images/470x370/ainu_dog.jpg , , , , , , , , , ,Working,Fearless| determined and loyal, , , , , , , , , , ,Ainu Dog, , , , ,30kg (65lbs),12 years, , , , , , , , ,7,Ainu Dog, , , , , , ,Hard,50cm (20in), , , , , , , ,Sharply pointed ears and upturned tail, , , , , ,Dog, ,Japan,Grey| Tan| Brown| White,
https://a-z-animals.com/media/animals/images/470x370/airedale_terrier.jpg , , , , , , , , , ,Terrier,Friendly| adaptable and courageous, , , , , , , , , , ,Airedale Terrier, , , , ,20kg (44lbs),12 years, , , , , , , , ,8,Airedale Terrier , , , , , , ,Fairly Easy,58cm (23in), , , , , , , ,Long muzzle and square body, , , , , ,Dog, ,Great Britain,Black| Tan| Brown,
